season,team,player_name
2020,MI,Rohit Sharma
2020,MI,Ishan Kishan
2020,MI,Suryakumar Yadav
2020,MI,Tilak Varma
2020,MI,Hardik Pandya
2020,MI,Tim David
2020,MI,Nehal Wadhera
2020,MI,Cameron Green
2020,MI,Jasprit Bumrah
2020,MI,Piyush Chawla
2020,MI,Arjun Tendulkar
2020,MI,Romario Shepherd
2020,MI,Gerald Coetzee
2020,MI,Akash Madhwal
2020,MI,Shams Mulani
2020,CSK,MS Dhoni
2020,CSK,Ruturaj Gaikwad
2020,CSK,Devon Conway
2020,CSK,Ajinkya Rahane
2020,CSK,Shivam Dube
2020,CSK,Ravindra Jadeja
2020,CSK,Moeen Ali
2020,CSK,Deepak Chahar
2020,CSK,Tushar Deshpande
2020,CSK,Matheesha Pathirana
2020,CSK,Mitchell Santner
2020,CSK,Maheesh Theekshana
2020,CSK,Ben Stokes
2020,CSK,Dwaine Pretorius
2020,CSK,Ambati Rayudu
2020,RCB,Virat Kohli
2020,RCB,Faf du Plessis
2020,RCB,Glenn Maxwell
2020,RCB,Rajat Patidar
2020,RCB,Dinesh Karthik
2020,RCB,Mahipal Lomror
2020,RCB,Shahbaz Ahmed
2020,RCB,Wanindu Hasaranga
2020,RCB,Mohammed Siraj
2020,RCB,Harshal Patel
2020,RCB,Josh Hazlewood
2020,RCB,Reece Topley
2020,RCB,Karn Sharma
2020,RCB,Anuj Rawat
2020,RCB,Finn Allen
2020,KKR,Shreyas Iyer
2020,KKR,Nitish Rana
2020,KKR,Rinku Singh
2020,KKR,Andre Russell
2020,KKR,Sunil Narine
2020,KKR,Venkatesh Iyer
2020,KKR,Rahmanullah Gurbaz
2020,KKR,Jason Roy
2020,KKR,Varun Chakravarthy
2020,KKR,Umesh Yadav
2020,KKR,Lockie Ferguson
2020,KKR,Mitchell Starc
2020,KKR,Harshit Rana
2020,KKR,Suyash Sharma
2020,KKR,Anukul Roy
2020,DC,David Warner
2020,DC,Prithvi Shaw
2020,DC,Rishabh Pant
2020,DC,Mitchell Marsh
2020,DC,Axar Patel
2020,DC,Lalit Yadav
2020,DC,Rovman Powell
2020,DC,Kuldeep Yadav
2020,DC,Anrich Nortje
2020,DC,Khaleel Ahmed
2020,DC,Chetan Sakariya
2020,DC,Mukesh Kumar
2020,DC,Ishant Sharma
2020,DC,Sarfaraz Khan
2020,DC,Phil Salt
2020,SRH,Aiden Markram
2020,SRH,Abhishek Sharma
2020,SRH,Rahul Tripathi
2020,SRH,Heinrich Klaasen
2020,SRH,Mayank Agarwal
2020,SRH,Washington Sundar
2020,SRH,Marco Jansen
2020,SRH,Bhuvneshwar Kumar
2020,SRH,Umran Malik
2020,SRH,T Natarajan
2020,SRH,Fazalhaq Farooqi
2020,SRH,Glenn Phillips
2020,SRH,Adil Rashid
2020,SRH,Harry Brook
2020,SRH,Abdul Samad
2020,RR,Sanju Samson
2020,RR,Jos Buttler
2020,RR,Yashasvi Jaiswal
2020,RR,Shimron Hetmyer
2020,RR,Riyan Parag
2020,RR,Dhruv Jurel
2020,RR,Ravichandran Ashwin
2020,RR,Yuzvendra Chahal
2020,RR,Trent Boult
2020,RR,Prasidh Krishna
2020,RR,Sandeep Sharma
2020,RR,Adam Zampa
2020,RR,Jason Holder
2020,RR,Obed McCoy
2020,RR,Devdutt Padikkal
2020,PBKS,Shikhar Dhawan
2020,PBKS,Jonny Bairstow
2020,PBKS,Prabhsimran Singh
2020,PBKS,Liam Livingstone
2020,PBKS,Jitesh Sharma
2020,PBKS,Shahrukh Khan
2020,PBKS,Sam Curran
2020,PBKS,Sikandar Raza
2020,PBKS,Kagiso Rabada
2020,PBKS,Arshdeep Singh
2020,PBKS,Rahul Chahar
2020,PBKS,Nathan Ellis
2020,PBKS,Harpreet Brar
2020,PBKS,Rishi Dhawan
2020,PBKS,Atharva Taide
2020,GT,Shubman Gill
2020,GT,Wriddhiman Saha
